# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 1.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
0.0059988      	9.62077745e-05	5.13126932e+02	-6.48277856e-06	9.29663852e-05	-9.94491638e-05
0.0131961      	6.06689498e-05	-2.53650403e+02	-4.50065709e-06	5.84186212e-05	-6.29192783e-05
0.0218297      	4.39751120e-05	1.19020179e+00	-1.48830530e-05	3.65335855e-05	-5.14166385e-05
0.0321864      	3.56720702e-05	-1.64953671e-02	-2.72853198e-07	3.55356436e-05	-3.58084968e-05
0.0446119      	2.75929392e-05	1.27502493e+00	3.31959598e-05	4.41909191e-05	-1.09949592e-05
0.0595151      	2.06538463e-05	2.17534131e+00	1.96418984e-06	2.16359412e-05	-1.96717514e-05
0.077383       	1.57901623e-05	2.47805612e+00	4.06991213e-05	3.61397230e-05	4.55939832e-06
0.0988051      	1.23846963e-05	2.43067328e+00	-2.57222761e-07	1.22560849e-05	-1.25133077e-05
0.124484       	1.01591964e-05	2.25390914e+00	-3.43811053e-05	-7.03135622e-06	-2.73497490e-05
0.154875       	8.21690852e-06	2.05024885e+00	-1.80463139e-05	-8.06248408e-07	-1.72400654e-05
0.189999       	-5.01668033e-06	1.86198111e+00	3.77508750e-06	-3.12913658e-06	6.90422408e-06
0.229938       	-6.27023189e-06	1.69953475e+00	1.81277929e-05	2.79366454e-06	1.53341283e-05
0.274768       	-7.72243534e-06	1.55925971e+00	1.08630937e-05	-2.29088847e-06	1.31539822e-05
0.32458        	-8.12669092e-06	1.44067866e+00	2.10154080e-05	2.38101311e-06	1.86343949e-05
0.375552       	-1.15988336e-05	1.35001926e+00	1.42418017e-05	-4.47793274e-06	1.87197345e-05
0.426791       	-1.01124642e-05	1.28095674e+00	8.49556822e-06	-5.86468009e-06	1.43602483e-05
