# Forces       
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         forces(pressure viscous porous)	moments(pressure viscous porous)
0.0059988      	((5.11146967e+02 -3.76112714e-06 1.27792718e-17) (1.97996487e+00 -2.72165142e-06 -6.94641977e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((4.66319709e-22 7.93365127e-17 -1.07501855e-12) (2.74569396e-17 -5.19879212e-20 9.62077756e-05) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0131961      	((-2.55460557e+02 -1.03108869e-06 -7.36745328e-18) (1.81015334e+00 -3.46956840e-06 -3.87997795e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.10510848e-20 -3.97343500e-17 -1.16588322e-10) (1.92617459e-17 -2.14661142e-20 6.06690663e-05) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0218297      	((-4.97459476e-01 -1.20965260e-05 -4.65806816e-19) (1.68766126e+00 -2.78652701e-06 -2.11237332e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-6.17021401e-21 -1.00270545e-19 -1.53708732e-10) (1.41226442e-17 -4.96600364e-21 4.39752657e-05) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0321864      	((-1.60508549e+00 1.26954166e-06 -5.02588636e-19) (1.58859012e+00 -1.54239486e-06 -1.37671728e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((6.50181527e-21 -2.50987217e-19 -1.60662147e-10) (1.13148956e-17 -4.19272666e-22 3.56722308e-05) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0446119      	((-2.20294133e-01 3.40111048e-05 -5.06063482e-19) (1.49531906e+00 -8.15144976e-07 -1.28906602e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.48092396e-21 -2.97772203e-20 -1.61949631e-10) (9.88031505e-18 2.35214002e-22 2.75931011e-05) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0595151      	((7.72769366e-01 2.40157473e-06 -4.73581186e-19) (1.40257194e+00 -4.37384885e-07 -1.29461806e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((5.11022546e-21 1.22308785e-19 -1.46498653e-10) (9.12692962e-18 -9.29880917e-23 2.06539928e-05) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.077383       	((1.16920080e+00 4.18844368e-05 -4.59191701e-19) (1.30885532e+00 -1.18531554e-06 -1.46672565e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.55291419e-21 1.81402388e-19 -9.23460326e-11) (7.43178963e-18 -2.68904919e-21 1.57902547e-05) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0988051      	((1.21765898e+00 1.73164589e-06 -4.57490220e-19) (1.21301430e+00 -1.98886865e-06 -1.78428319e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-7.97675424e-23 1.87070492e-19 -8.51393495e-11) (5.55499517e-18 -6.33893303e-21 1.23847814e-05) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.124484       	((1.13886475e+00 -3.18201980e-05 -4.54005143e-19) (1.11504438e+00 -2.56090723e-06 -2.01339895e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.31860917e-22 1.74246839e-19 -6.32918567e-11) (2.26616439e-18 -1.31175280e-20 1.01592597e-05) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.154875       	((1.03268331e+00 -1.51850513e-05 -4.50457185e-19) (1.01756555e+00 -2.86126260e-06 -8.01959221e-21) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.24976543e-22 1.58425078e-19 -5.49708942e-11) (-1.01207027e-18 -9.91840596e-21 8.21696349e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.189999       	((9.38123189e-01 -4.54798307e-06 -4.48012399e-19) (9.23857917e-01 8.32307057e-06 1.24348714e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((5.08795949e-22 1.44578529e-19 -5.64880126e-11) (-3.99451043e-18 -3.10772392e-22 -5.01662384e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.229938       	((8.63332591e-01 1.23402357e-05 -4.47141024e-19) (8.36202158e-01 5.78755714e-06 1.89288610e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((7.03022411e-22 1.33469571e-19 -3.77735389e-11) (-5.50703416e-18 4.08508694e-21 -6.27019412e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.274768       	((8.02645198e-01 8.35179411e-06 -4.45122731e-19) (7.56614515e-01 2.51129963e-06 2.13517450e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((5.20218594e-22 1.24408538e-19 -2.17808775e-11) (-7.00733344e-18 7.53436401e-21 -7.72241356e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.32458        	((7.55063561e-01 2.13398802e-05 -4.42749140e-19) (6.85615096e-01 -3.24472118e-07 2.33819761e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.81700541e-22 1.17310048e-19 -1.38975913e-11) (-7.67923501e-18 1.10816830e-20 -8.12667702e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.375552       	((7.22595986e-01 2.00484863e-05 -4.40919027e-19) (6.27423273e-01 -5.80668459e-06 2.45259577e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-8.84283917e-22 1.12419404e-19 -9.44134040e-12) (-7.98893330e-18 1.67005302e-20 -1.15988242e-05) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.426791       	((7.00714724e-01 1.40231867e-05 -4.38746267e-19) (5.80242020e-01 -5.52761853e-06 2.56234899e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.21168449e-21 1.09043722e-19 -5.11263173e-12) (-7.48791559e-18 1.80600605e-20 -1.01124591e-05) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.478164       	((6.86878511e-01 1.47909304e-05 -4.36770256e-19) (5.41545505e-01 -4.92264730e-06 2.65968259e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.71039652e-21 1.06967329e-19 -4.20833350e-12) (-6.55045197e-18 1.80925923e-20 -8.79596787e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.529538       	((6.78917175e-01 1.08898393e-05 -4.35333981e-19) (5.09377960e-01 -7.26946391e-06 2.51294662e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.06690072e-21 1.05855219e-19 -1.48187842e-12) (-5.68493461e-18 1.50022239e-20 -1.02348610e-05) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.581047       	((6.73715570e-01 1.42576009e-05 -4.33503869e-19) (4.82366674e-01 -7.52083038e-06 2.26475321e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.32017708e-21 1.05154570e-19 -2.60154165e-12) (-4.64745021e-18 1.51269014e-20 -8.26496819e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
