# Field minima and maxima
# Time         	field          	min            	location(min)  	max            	location(max)  
0.0059988      	p              	-1.49707761e+02	(1.03340804e+00 -4.06193375e-02 -1.36422226e-17)	1.75581413e+02	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
0.0059988      	U              	(6.36930100e-01 -4.24830976e-01 -1.69331335e-17)	(-1.21108335e+00 -5.58291140e-01 0.00000000e+00)	(1.75657899e+00 3.23841317e-01 9.18414532e-18)	(-2.15604005e-01 1.08374234e+00 0.00000000e+00)
0.0131961      	p              	-8.99127206e+01	(-1.10382176e+00 -4.33950814e-02 1.31701460e-17)	7.64864211e+01	(1.10382176e+00 -4.33950814e-02 0.00000000e+00)
0.0131961      	U              	(4.17314395e-01 -2.37004083e-01 -1.10394920e-17)	(-1.23018879e+00 -2.44772716e-01 -5.99917166e-17)	(1.83799729e+00 3.97233514e-01 7.18513868e-18)	(-2.80771032e-01 9.95500327e-01 -1.35944360e-17)
0.0218297      	p              	-1.50667967e+00	(-1.21582612e-01 -1.02709282e+00 0.00000000e+00)	1.90420777e+00	(1.10382176e+00 -4.33950814e-02 0.00000000e+00)
0.0218297      	U              	(7.30136880e-01 -6.82863714e-01 -3.13766308e-19)	(9.79733345e-01 6.54574149e-01 0.00000000e+00)	(1.73980982e+00 3.75393540e-01 3.29807268e-19)	(-2.15604005e-01 1.08374234e+00 0.00000000e+00)
0.0321864      	p              	-1.49938331e+00	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	1.91756491e+00	(1.10382176e+00 -4.33950814e-02 0.00000000e+00)
0.0321864      	U              	(5.39815698e-01 -8.55822857e-01 -1.47568667e-19)	(9.18776698e-01 6.13866613e-01 -2.47093567e-17)	(1.73323740e+00 3.65880318e-01 3.22330644e-19)	(-2.15604005e-01 1.08374234e+00 0.00000000e+00)
0.0446119      	p              	-1.50795960e+00	(4.06193375e-02 1.03340804e+00 0.00000000e+00)	1.37590067e+00	(1.10382176e+00 4.33950814e-02 0.00000000e+00)
0.0446119      	U              	(3.73467578e-01 -7.75785927e-01 -2.28111955e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.72883892e+00 3.51760200e-01 3.87505324e-19)	(-2.15604005e-01 1.08374234e+00 0.00000000e+00)
0.0595151      	p              	-1.51215491e+00	(4.06193375e-02 1.03340804e+00 0.00000000e+00)	1.01692673e+00	(-1.17685237e+00 -4.62739424e-02 0.00000000e+00)
0.0595151      	U              	(4.03721435e-01 -7.51531332e-01 -3.07253574e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.74512871e+00 3.40474325e-01 8.59952214e-19)	(2.15604005e-01 -1.08374234e+00 0.00000000e+00)
0.077383       	p              	-1.51884759e+00	(1.21582612e-01 1.02709282e+00 2.72429965e-17)	9.27435949e-01	(-1.17685237e+00 -4.62739424e-02 0.00000000e+00)
0.077383       	U              	(4.30430588e-01 -7.33440066e-01 -3.09713657e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.74313784e+00 3.43444693e-01 1.03123087e-18)	(2.15604005e-01 -1.08374234e+00 0.00000000e+00)
0.0988051      	p              	-1.51727643e+00	(1.21582612e-01 1.02709282e+00 2.72429965e-17)	8.90731013e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
0.0988051      	U              	(3.55133541e-01 -6.30433887e-01 -1.23384633e-19)	(1.00360472e+00 4.62658924e-01 -1.23402591e-17)	(1.73868503e+00 3.46706348e-01 1.17571658e-18)	(2.15604005e-01 -1.08374234e+00 0.00000000e+00)
0.124484       	p              	-1.48413610e+00	(1.21582612e-01 -1.02709282e+00 -2.72429965e-17)	8.54780452e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
0.124484       	U              	(3.55431413e-01 -6.14761633e-01 -1.34750386e-19)	(1.00360472e+00 4.62658924e-01 -1.23402591e-17)	(1.72925983e+00 3.46570971e-01 1.27375701e-18)	(2.15604005e-01 -1.08374234e+00 0.00000000e+00)
0.154875       	p              	-1.44045439e+00	(1.21582612e-01 -1.02709282e+00 -2.72429965e-17)	7.95946733e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
0.154875       	U              	(3.52442538e-01 -5.96623193e-01 -1.46375231e-19)	(1.00360472e+00 4.62658924e-01 -1.23402591e-17)	(1.71205066e+00 3.41307439e-01 1.35026971e-18)	(2.15604005e-01 -1.08374234e+00 0.00000000e+00)
0.189999       	p              	-1.40040642e+00	(1.21582612e-01 1.02709282e+00 2.72429965e-17)	7.34348835e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
0.189999       	U              	(3.45927298e-01 -5.74792419e-01 -1.59490632e-19)	(1.00360472e+00 4.62658924e-01 -1.23402591e-17)	(1.73332030e+00 1.95005942e-01 8.15358866e-19)	(-1.38518882e-01 1.16988517e+00 -1.04771484e-17)
0.229938       	p              	-1.38029149e+00	(1.21582612e-01 1.02709282e+00 2.72429965e-17)	6.88155840e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
0.229938       	U              	(3.35365163e-01 -5.48579950e-01 -1.73472882e-19)	(1.00360472e+00 4.62658924e-01 -1.23402591e-17)	(1.73290012e+00 2.02394238e-01 9.10126591e-19)	(-1.38518882e-01 1.16988517e+00 -1.04771484e-17)
0.274768       	p              	-1.35858097e+00	(1.21582612e-01 1.02709282e+00 2.72429965e-17)	6.54988243e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
0.274768       	U              	(3.20279935e-01 -5.17680956e-01 -1.86758033e-19)	(1.00360472e+00 4.62658924e-01 -1.23402591e-17)	(1.73021163e+00 2.09138310e-01 9.97566609e-19)	(-1.38518882e-01 1.16988517e+00 -1.04771484e-17)
0.32458        	p              	-1.33459014e+00	(1.21582612e-01 1.02709282e+00 2.72429965e-17)	6.29949088e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
0.32458        	U              	(4.95009844e-01 -6.86375564e-01 -6.17160363e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.72537608e+00 2.14915755e-01 1.07799950e-18)	(-1.38518882e-01 1.16988517e+00 -1.04771484e-17)
0.375552       	p              	-1.31679348e+00	(1.21582612e-01 1.02709282e+00 2.72429965e-17)	6.12632346e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
0.375552       	U              	(5.80316914e-01 -6.08390552e-01 -6.77747657e-19)	(8.67678671e-01 6.83977627e-01 0.00000000e+00)	(1.71891304e+00 2.20194722e-01 1.09258545e-18)	(-1.38518882e-01 1.16988517e+00 -1.04771484e-17)
0.426791       	p              	-1.29848605e+00	(4.06193375e-02 1.03340804e+00 0.00000000e+00)	6.01509180e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
0.426791       	U              	(5.43177381e-01 -5.64248607e-01 -6.55404827e-19)	(8.67678671e-01 6.83977627e-01 0.00000000e+00)	(1.71151720e+00 2.24807604e-01 1.09560950e-18)	(-1.38518882e-01 1.16988517e+00 -1.04771484e-17)
0.478164       	p              	-1.28307341e+00	(4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.92895199e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
0.478164       	U              	(4.89996044e-01 -6.80118354e-01 -6.39579776e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.70336632e+00 2.28966380e-01 1.08818524e-18)	(-1.38518882e-01 1.16988517e+00 -1.04771484e-17)
0.529538       	p              	-1.26809008e+00	(4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.86633198e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
0.529538       	U              	(4.88880702e-01 -6.78138040e-01 -6.38486347e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.69480091e+00 2.32792463e-01 1.07766015e-18)	(-1.38518882e-01 1.16988517e+00 -1.04771484e-17)
0.581047       	p              	-1.25460848e+00	(4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.82013751e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
0.581047       	U              	(4.88095924e-01 -6.76127669e-01 -6.37122119e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.68595073e+00 2.36260701e-01 1.06682463e-18)	(-1.38518882e-01 1.16988517e+00 -1.04771484e-17)
0.632693       	p              	-1.24099687e+00	(4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.78603863e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
0.632693       	U              	(4.87493679e-01 -6.74123047e-01 -6.35333489e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.67704691e+00 2.39643122e-01 1.05354515e-18)	(-1.38518882e-01 1.16988517e+00 -1.04771484e-17)
0.684477       	p              	-1.22762515e+00	(4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.76035719e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
0.684477       	U              	(4.86944231e-01 -6.72172341e-01 -6.33292168e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.66811779e+00 2.42961166e-01 1.04075804e-18)	(-1.38518882e-01 1.16988517e+00 -1.04771484e-17)
0.736401       	p              	-1.21431589e+00	(4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.74160504e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
0.736401       	U              	(4.86353348e-01 -6.70322219e-01 -6.31245374e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.65925203e+00 2.46267338e-01 1.02831608e-18)	(-1.38518882e-01 1.16988517e+00 -1.04771484e-17)
0.788605       	p              	-1.20173045e+00	(4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.72785673e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
0.788605       	U              	(4.85664844e-01 -6.68607584e-01 -6.30331917e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.65051801e+00 2.49559827e-01 1.01764334e-18)	(-1.38518882e-01 1.16988517e+00 -1.04771484e-17)
0.841096       	p              	-1.18975585e+00	(4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.71788044e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
