# Region type : patch out
# Faces  :     80
# Area   :     4.00000000e+01
# Time         	sum(phi)
0.0059988      	3.99999996e+01
0.0131961      	4.00000001e+01
0.0218297      	4.00000000e+01
0.0321864      	4.00000000e+01
0.0446119      	4.00000000e+01
0.0595151      	4.00000000e+01
0.077383       	4.00000000e+01
0.0988051      	4.00000000e+01
0.124484       	3.99999999e+01
0.154875       	3.99999999e+01
0.189999       	3.99999998e+01
0.229938       	3.99999998e+01
0.274768       	4.00000000e+01
0.32458        	4.00000000e+01
0.375552       	3.99999998e+01
0.426791       	3.99999998e+01
0.478164       	3.99999999e+01
0.529538       	3.99999999e+01
0.581047       	3.99999999e+01
0.632693       	4.00000000e+01
0.684477       	4.00000000e+01
0.736401       	4.00000000e+01
0.788605       	4.00000000e+01
0.841096       	4.00000000e+01
0.89373        	4.00000000e+01
0.94651        	4.00000000e+01
0.999436       	4.00000000e+01
1.05251        	4.00000000e+01
1.10573        	4.00000000e+01
1.15896        	4.00000000e+01
1.21233        	4.00000000e+01
1.26586        	4.00000000e+01
1.31938        	4.00000000e+01
1.37291        	4.00000000e+01
1.42659        	4.00000000e+01
1.48027        	4.00000000e+01
1.53395        	4.00000000e+01
1.58763        	4.00000000e+01
1.64147        	4.00000000e+01
1.69531        	4.00000000e+01
1.74914        	4.00000000e+01
1.80314        	4.00000000e+01
1.85714        	4.00000000e+01
1.91129        	4.00000000e+01
1.96545        	4.00000000e+01
2.01977        	4.00000000e+01
2.07409        	4.00000000e+01
2.12841        	4.00000000e+01
2.1829         	4.00000000e+01
2.23739        	4.00000000e+01
2.29204        	4.00000000e+01
2.3467         	4.00000000e+01
2.40152        	4.00000000e+01
2.45634        	4.00000001e+01
2.51117        	4.00000000e+01
2.56599        	4.00000000e+01
2.62099        	4.00000000e+01
2.67599        	4.00000000e+01
2.73098        	4.00000000e+01
2.78615        	4.00000000e+01
2.84133        	4.00000000e+01
2.89668        	4.00000000e+01
2.95203        	4.00000000e+01
3.00756        	4.00000000e+01
3.06309        	4.00000000e+01
3.1188         	4.00000000e+01
3.17452        	4.00000000e+01
3.23023        	4.00000000e+01
3.28613        	4.00000000e+01
3.34203        	4.00000000e+01
3.39793        	4.00000000e+01
3.45402        	4.00000000e+01
3.5101         	4.00000000e+01
3.56638        	4.00000000e+01
3.62266        	4.00000000e+01
3.67894        	4.00000000e+01
3.73542        	4.00000000e+01
3.79189        	4.00000000e+01
3.84837        	4.00000000e+01
3.90504        	4.00000000e+01
3.96171        	4.00000000e+01
4.01858        	4.00000000e+01
4.07546        	4.00000000e+01
4.13233        	4.00000001e+01
4.18941        	4.00000001e+01
4.24649        	4.00000001e+01
4.30377        	4.00000001e+01
4.36106        	4.00000000e+01
4.41834        	4.00000000e+01
4.47584        	4.00000001e+01
4.53334        	4.00000001e+01
4.59083        	4.00000001e+01
4.64855        	4.00000001e+01
4.70626        	4.00000001e+01
4.76397        	4.00000001e+01
4.8219         	4.00000001e+01
4.87983        	4.00000001e+01
4.93777        	4.00000001e+01
4.99592        	4.00000001e+01
5.05408        	4.00000001e+01
5.11223        	4.00000001e+01
5.17039        	4.00000001e+01
5.22877        	4.00000001e+01
5.28716        	4.00000001e+01
5.34554        	4.00000001e+01
5.40392        	4.00000001e+01
5.46254        	4.00000001e+01
5.52116        	4.00000001e+01
5.57978        	4.00000001e+01
5.6384         	4.00000001e+01
5.69702        	4.00000001e+01
5.75588        	4.00000001e+01
5.81474        	4.00000001e+01
5.8736         	4.00000001e+01
5.93246        	4.00000001e+01
5.99132        	4.00000001e+01
6.05043        	4.00000001e+01
6.10953        	4.00000001e+01
6.16864        	4.00000001e+01
6.22775        	4.00000001e+01
6.28686        	4.00000001e+01
6.34622        	4.00000001e+01
6.40559        	4.00000001e+01
6.46495        	4.00000001e+01
6.52432        	4.00000001e+01
6.58368        	4.00000001e+01
6.64331        	4.00000001e+01
6.70294        	4.00000001e+01
6.76257        	4.00000001e+01
6.82219        	4.00000001e+01
6.88182        	4.00000001e+01
6.94172        	4.00000001e+01
7.00162        	4.00000001e+01
7.06152        	4.00000001e+01
7.12142        	4.00000001e+01
7.18132        	4.00000001e+01
7.24122        	4.00000001e+01
7.30141        	4.00000001e+01
7.36159        	4.00000001e+01
7.42177        	4.00000001e+01
7.48196        	4.00000001e+01
7.54214        	4.00000001e+01
7.60232        	4.00000001e+01
7.6625         	4.00000001e+01
7.72298        	4.00000001e+01
7.78346        	4.00000001e+01
7.84394        	4.00000001e+01
7.90442        	4.00000001e+01
7.96489        	4.00000001e+01
8.02537        	4.00000001e+01
8.08585        	4.00000001e+01
8.14633        	4.00000001e+01
8.20712        	4.00000001e+01
8.2679         	4.00000001e+01
8.32869        	4.00000001e+01
8.38948        	4.00000001e+01
8.45027        	4.00000001e+01
8.51106        	4.00000001e+01
8.57184        	4.00000001e+01
8.63263        	4.00000001e+01
8.69375        	4.00000001e+01
8.75486        	4.00000001e+01
8.81598        	4.00000001e+01
8.87709        	4.00000001e+01
8.93821        	4.00000001e+01
8.99932        	4.00000001e+01
9.06044        	4.00000001e+01
9.12155        	4.00000001e+01
9.18267        	4.00000001e+01
9.24413        	4.00000001e+01
9.30559        	4.00000001e+01
9.36705        	4.00000001e+01
9.42851        	4.00000001e+01
9.48998        	4.00000001e+01
9.55144        	4.00000001e+01
9.6129         	4.00000001e+01
9.67436        	4.00000001e+01
9.73582        	4.00000001e+01
9.79729        	4.00000001e+01
9.85912        	4.00000001e+01
9.92096        	4.00000001e+01
9.98279        	4.00000001e+01
10.0446        	4.00000001e+01
10.1065        	4.00000001e+01
10.1683        	4.00000001e+01
10.2301        	4.00000001e+01
10.292         	4.00000001e+01
10.3538        	4.00000001e+01
10.4156        	4.00000001e+01
10.4779        	4.00000001e+01
10.5401        	4.00000001e+01
10.6023        	4.00000001e+01
10.6646        	4.00000001e+01
10.7268        	4.00000001e+01
10.7891        	4.00000001e+01
10.8513        	4.00000001e+01
10.9135        	4.00000001e+01
10.9758        	4.00000001e+01
11.038         	4.00000001e+01
11.1002        	4.00000000e+01
11.1625        	4.00000000e+01
11.2247        	4.00000001e+01
11.2874        	4.00000001e+01
11.3501        	4.00000001e+01
11.4127        	4.00000001e+01
11.4754        	4.00000000e+01
11.5381        	4.00000000e+01
11.6008        	4.00000000e+01
11.6635        	4.00000000e+01
11.7261        	4.00000000e+01
11.7888        	4.00000000e+01
11.8515        	4.00000000e+01
11.9142        	4.00000000e+01
11.9769        	4.00000000e+01
12.0396        	4.00000000e+01
12.1022        	4.00000000e+01
12.1654        	4.00000000e+01
12.2286        	4.00000000e+01
12.2918        	4.00000000e+01
12.355         	4.00000000e+01
12.4181        	4.00000000e+01
12.4813        	4.00000000e+01
12.5445        	4.00000000e+01
12.6077        	4.00000000e+01
12.6709        	4.00000000e+01
12.7341        	4.00000000e+01
12.7972        	4.00000000e+01
12.8604        	4.00000000e+01
12.9236        	4.00000000e+01
12.9868        	4.00000000e+01
13.05          	4.00000000e+01
13.1131        	4.00000000e+01
13.1763        	4.00000000e+01
13.2395        	4.00000000e+01
13.3027        	4.00000000e+01
13.3659        	4.00000000e+01
13.4291        	4.00000000e+01
13.4922        	4.00000000e+01
13.5554        	4.00000000e+01
13.6186        	4.00000000e+01
13.6818        	4.00000000e+01
13.7456        	4.00000000e+01
13.8094        	4.00000000e+01
13.8732        	4.00000000e+01
13.9371        	4.00000000e+01
14.0009        	4.00000000e+01
14.0647        	4.00000000e+01
14.1285        	4.00000000e+01
14.1923        	4.00000000e+01
14.2562        	4.00000000e+01
14.32          	4.00000000e+01
14.3838        	4.00000000e+01
14.4476        	4.00000000e+01
14.5115        	4.00000000e+01
14.5753        	4.00000000e+01
14.6391        	4.00000000e+01
14.7029        	4.00000000e+01
14.7667        	4.00000000e+01
14.8306        	4.00000000e+01
14.8944        	4.00000000e+01
14.9582        	4.00000000e+01
15.022         	4.00000000e+01
15.0858        	4.00000000e+01
15.1497        	4.00000000e+01
15.2135        	4.00000000e+01
15.2773        	4.00000000e+01
15.3411        	4.00000000e+01
15.4049        	4.00000000e+01
15.4688        	4.00000000e+01
15.5326        	4.00000000e+01
15.5964        	4.00000000e+01
15.6602        	4.00000000e+01
15.724         	4.00000000e+01
15.7879        	4.00000000e+01
15.8517        	4.00000000e+01
15.9155        	4.00000000e+01
15.9793        	4.00000000e+01
16.0431        	4.00000000e+01
16.107         	4.00000000e+01
16.1708        	4.00000000e+01
16.2346        	4.00000000e+01
16.2984        	4.00000000e+01
16.3622        	4.00000000e+01
16.4261        	4.00000000e+01
16.4899        	4.00000000e+01
16.5537        	4.00000000e+01
16.6175        	4.00000000e+01
16.6813        	4.00000000e+01
16.7452        	4.00000000e+01
16.809         	4.00000000e+01
16.8728        	4.00000000e+01
16.9366        	4.00000000e+01
17.0004        	4.00000000e+01
17.0643        	4.00000000e+01
17.1281        	4.00000000e+01
17.1919        	4.00000000e+01
17.2557        	4.00000000e+01
17.3195        	4.00000000e+01
17.3834        	4.00000000e+01
17.4472        	4.00000000e+01
17.511         	4.00000000e+01
17.5748        	4.00000000e+01
17.6386        	4.00000000e+01
17.7025        	4.00000000e+01
17.7663        	4.00000000e+01
17.8301        	4.00000000e+01
17.8939        	4.00000000e+01
17.9577        	4.00000000e+01
18.0216        	4.00000000e+01
18.0854        	4.00000000e+01
18.1492        	4.00000000e+01
18.213         	4.00000000e+01
18.2769        	4.00000000e+01
18.3407        	4.00000000e+01
18.4045        	4.00000000e+01
18.4683        	4.00000000e+01
18.5321        	4.00000000e+01
18.596         	4.00000000e+01
18.6598        	4.00000000e+01
18.7236        	4.00000000e+01
18.7874        	4.00000000e+01
18.8512        	4.00000000e+01
18.9151        	4.00000000e+01
18.9789        	4.00000000e+01
19.0427        	4.00000000e+01
19.1065        	4.00000000e+01
19.1703        	4.00000000e+01
19.2342        	4.00000000e+01
19.298         	4.00000000e+01
19.3618        	4.00000000e+01
19.4256        	4.00000000e+01
19.4894        	4.00000000e+01
19.5533        	4.00000000e+01
19.6171        	4.00000000e+01
19.6809        	4.00000000e+01
19.7447        	4.00000000e+01
19.8085        	4.00000000e+01
19.8724        	4.00000000e+01
19.9362        	4.00000000e+01
20             	4.00000000e+01
20.0654        	4.00000000e+01
20.1307        	4.00000000e+01
20.1961        	4.00000000e+01
20.2614        	4.00000000e+01
20.3268        	4.00000000e+01
20.3922        	4.00000000e+01
20.4575        	4.00000000e+01
20.5229        	4.00000000e+01
20.5882        	4.00000000e+01
20.6536        	4.00000000e+01
20.719         	4.00000000e+01
20.7843        	4.00000000e+01
20.8497        	4.00000000e+01
20.915         	4.00000000e+01
20.9804        	4.00000000e+01
21.0458        	4.00000000e+01
21.1113        	4.00000000e+01
21.1769        	4.00000000e+01
21.2425        	4.00000000e+01
21.3081        	4.00000000e+01
21.3737        	4.00000000e+01
21.4393        	4.00000000e+01
21.5049        	4.00000000e+01
21.5704        	4.00000000e+01
21.636         	4.00000000e+01
21.7016        	4.00000000e+01
21.7672        	4.00000000e+01
21.8328        	4.00000000e+01
21.8984        	4.00000000e+01
21.964         	4.00000000e+01
22.0295        	4.00000000e+01
22.0951        	4.00000000e+01
22.1607        	4.00000000e+01
22.2263        	4.00000000e+01
22.2919        	4.00000000e+01
22.3575        	4.00000000e+01
22.4233        	4.00000000e+01
22.4891        	4.00000000e+01
22.555         	4.00000000e+01
22.6208        	4.00000000e+01
22.6866        	4.00000000e+01
22.7524        	4.00000000e+01
22.8183        	4.00000000e+01
22.8841        	4.00000000e+01
22.9499        	4.00000000e+01
23.0158        	4.00000000e+01
23.0816        	4.00000000e+01
23.1474        	4.00000000e+01
23.2133        	4.00000000e+01
23.2791        	4.00000000e+01
23.3449        	4.00000000e+01
23.4108        	4.00000000e+01
23.4766        	4.00000000e+01
23.5424        	4.00000000e+01
23.6082        	4.00000000e+01
23.6741        	4.00000000e+01
23.7399        	4.00000000e+01
23.8057        	4.00000000e+01
23.8716        	4.00000000e+01
23.9374        	4.00000000e+01
24.0035        	4.00000000e+01
24.0696        	4.00000000e+01
24.1357        	4.00000000e+01
24.2018        	4.00000000e+01
24.2679        	4.00000000e+01
24.334         	4.00000000e+01
24.4001        	4.00000000e+01
24.4662        	4.00000000e+01
24.5323        	4.00000000e+01
24.5984        	4.00000000e+01
24.6645        	4.00000000e+01
24.7306        	4.00000000e+01
24.7967        	4.00000000e+01
24.8628        	4.00000000e+01
24.9289        	4.00000000e+01
24.995         	4.00000000e+01
25.0611        	4.00000000e+01
25.1272        	4.00000000e+01
25.1933        	4.00000000e+01
25.2594        	4.00000000e+01
25.3255        	4.00000000e+01
25.3916        	4.00000000e+01
25.4577        	4.00000000e+01
25.5238        	4.00000000e+01
25.5899        	4.00000000e+01
25.656         	4.00000000e+01
25.7221        	4.00000000e+01
25.7882        	4.00000000e+01
25.8543        	4.00000000e+01
25.9207        	4.00000000e+01
25.9872        	4.00000000e+01
26.0536        	4.00000000e+01
26.12          	4.00000000e+01
26.1864        	4.00000000e+01
26.2528        	4.00000000e+01
26.3192        	4.00000000e+01
26.3856        	4.00000000e+01
26.452         	4.00000000e+01
26.5184        	4.00000000e+01
26.5849        	4.00000000e+01
26.6513        	4.00000000e+01
26.7177        	4.00000000e+01
26.7841        	4.00000000e+01
26.8505        	4.00000000e+01
26.9169        	4.00000000e+01
26.9833        	4.00000000e+01
27.0497        	4.00000000e+01
27.1161        	4.00000000e+01
27.1826        	4.00000000e+01
27.249         	4.00000000e+01
27.3154        	4.00000000e+01
27.3818        	4.00000000e+01
27.4482        	4.00000000e+01
27.5146        	4.00000000e+01
27.581         	4.00000000e+01
27.6474        	4.00000000e+01
27.7139        	4.00000000e+01
27.7803        	4.00000000e+01
27.8467        	4.00000000e+01
27.9131        	4.00000000e+01
27.9795        	4.00000000e+01
28.0459        	4.00000000e+01
28.1123        	4.00000000e+01
28.1787        	4.00000000e+01
28.2451        	4.00000000e+01
28.3116        	4.00000000e+01
28.378         	4.00000000e+01
28.4444        	4.00000000e+01
28.5108        	4.00000000e+01
28.5776        	4.00000000e+01
28.6444        	4.00000000e+01
28.7112        	4.00000000e+01
28.778         	4.00000000e+01
28.8448        	4.00000000e+01
28.9116        	4.00000000e+01
28.9784        	4.00000000e+01
29.0452        	4.00000000e+01
29.112         	4.00000000e+01
29.1788        	4.00000000e+01
29.2456        	4.00000000e+01
29.3124        	4.00000000e+01
29.3792        	4.00000000e+01
29.446         	4.00000000e+01
29.5128        	4.00000000e+01
29.5796        	4.00000000e+01
29.6464        	4.00000000e+01
29.7132        	4.00000000e+01
29.78          	4.00000000e+01
29.8467        	4.00000000e+01
29.9135        	4.00000000e+01
29.9803        	4.00000000e+01
30.0471        	4.00000000e+01
30.1139        	4.00000000e+01
30.1807        	4.00000000e+01
30.2475        	4.00000000e+01
30.3143        	4.00000000e+01
30.3811        	4.00000000e+01
30.4479        	4.00000000e+01
30.5147        	4.00000000e+01
30.5815        	4.00000000e+01
30.6483        	4.00000000e+01
30.7151        	4.00000000e+01
30.7819        	4.00000000e+01
30.8487        	4.00000000e+01
30.9155        	4.00000000e+01
30.9823        	4.00000000e+01
31.0491        	4.00000000e+01
31.1159        	4.00000000e+01
31.1827        	4.00000000e+01
31.2495        	4.00000000e+01
31.3163        	4.00000000e+01
31.3831        	4.00000000e+01
31.4499        	4.00000000e+01
31.5167        	4.00000000e+01
31.5835        	4.00000000e+01
31.6503        	4.00000000e+01
31.7171        	4.00000000e+01
31.7839        	4.00000000e+01
31.8507        	4.00000000e+01
31.9175        	4.00000000e+01
31.9843        	4.00000000e+01
32.0511        	4.00000000e+01
32.1179        	4.00000000e+01
32.1847        	4.00000000e+01
32.2515        	4.00000000e+01
32.3183        	4.00000000e+01
32.3851        	4.00000000e+01
32.4519        	4.00000000e+01
32.5187        	4.00000000e+01
32.5855        	4.00000000e+01
32.6523        	4.00000000e+01
32.719         	4.00000000e+01
32.7858        	4.00000000e+01
32.8526        	4.00000000e+01
32.9194        	4.00000000e+01
32.9862        	4.00000000e+01
33.053         	4.00000000e+01
33.1198        	4.00000000e+01
33.1866        	4.00000000e+01
33.2534        	4.00000000e+01
33.3202        	4.00000000e+01
33.387         	4.00000000e+01
33.4538        	4.00000000e+01
33.5206        	4.00000000e+01
33.5874        	4.00000000e+01
33.6542        	4.00000000e+01
33.721         	4.00000000e+01
33.7878        	4.00000000e+01
33.8546        	4.00000000e+01
33.9214        	4.00000000e+01
33.9882        	4.00000000e+01
34.055         	4.00000000e+01
34.1218        	4.00000000e+01
34.1886        	4.00000000e+01
34.2554        	4.00000000e+01
34.3222        	4.00000000e+01
34.389         	4.00000000e+01
34.4558        	4.00000000e+01
34.5226        	4.00000000e+01
34.5894        	4.00000000e+01
34.6562        	4.00000000e+01
34.723         	4.00000000e+01
34.7898        	4.00000000e+01
34.8566        	4.00000000e+01
34.9234        	4.00000000e+01
34.9902        	4.00000000e+01
35.057         	4.00000000e+01
35.1238        	4.00000000e+01
35.1906        	4.00000000e+01
35.2574        	4.00000000e+01
35.3242        	4.00000000e+01
35.391         	4.00000000e+01
35.4578        	4.00000000e+01
35.5246        	4.00000000e+01
35.5914        	4.00000000e+01
35.6581        	4.00000000e+01
35.7249        	4.00000000e+01
35.7917        	4.00000000e+01
35.8585        	4.00000000e+01
35.9253        	4.00000000e+01
35.9921        	4.00000000e+01
36.0589        	4.00000000e+01
36.1257        	4.00000000e+01
36.1925        	4.00000000e+01
36.2593        	4.00000000e+01
36.3261        	4.00000000e+01
36.3929        	4.00000000e+01
36.4597        	4.00000000e+01
36.5265        	4.00000000e+01
36.5933        	4.00000000e+01
36.6601        	4.00000000e+01
36.7269        	4.00000000e+01
36.7937        	4.00000000e+01
36.8605        	4.00000000e+01
36.9273        	4.00000000e+01
36.9941        	4.00000000e+01
37.0609        	4.00000000e+01
37.1277        	4.00000000e+01
37.1945        	4.00000000e+01
37.2613        	4.00000000e+01
37.3281        	4.00000000e+01
37.3949        	4.00000000e+01
37.4617        	4.00000000e+01
37.5285        	4.00000000e+01
37.5953        	4.00000000e+01
37.6621        	4.00000000e+01
37.7289        	4.00000000e+01
37.7957        	4.00000000e+01
37.8625        	4.00000000e+01
37.9293        	4.00000000e+01
37.9961        	4.00000000e+01
38.0629        	4.00000000e+01
38.1297        	4.00000000e+01
38.1965        	4.00000000e+01
38.2633        	4.00000000e+01
38.3301        	4.00000000e+01
38.3969        	4.00000000e+01
38.4637        	4.00000000e+01
38.5305        	4.00000000e+01
38.5972        	4.00000000e+01
38.664         	4.00000000e+01
38.7308        	4.00000000e+01
38.7976        	4.00000000e+01
38.8644        	4.00000000e+01
38.9312        	4.00000000e+01
38.998         	4.00000000e+01
39.0648        	4.00000000e+01
39.1316        	4.00000000e+01
39.1984        	4.00000000e+01
39.2652        	4.00000000e+01
39.332         	4.00000000e+01
39.3988        	4.00000000e+01
39.4656        	4.00000000e+01
39.5324        	4.00000000e+01
39.5992        	4.00000000e+01
39.666         	4.00000000e+01
39.7328        	4.00000000e+01
39.7996        	4.00000000e+01
39.8664        	4.00000000e+01
39.9332        	4.00000000e+01
40             	4.00000000e+01
40.068         	4.00000000e+01
40.1361        	4.00000000e+01
40.2041        	4.00000000e+01
40.2721        	4.00000000e+01
40.3401        	4.00000000e+01
40.4082        	4.00000000e+01
40.4762        	4.00000000e+01
40.5442        	4.00000000e+01
40.6122        	4.00000000e+01
40.6803        	4.00000000e+01
40.7483        	4.00000000e+01
40.8163        	4.00000000e+01
40.8844        	4.00000000e+01
40.9524        	4.00000000e+01
41.0204        	4.00000000e+01
41.0884        	4.00000000e+01
41.1565        	4.00000000e+01
41.2245        	4.00000000e+01
41.2925        	4.00000000e+01
41.3605        	4.00000000e+01
41.4286        	4.00000000e+01
41.4966        	4.00000000e+01
41.5646        	4.00000000e+01
41.6327        	4.00000000e+01
41.7007        	4.00000000e+01
41.7687        	4.00000000e+01
41.8367        	4.00000000e+01
41.9048        	4.00000000e+01
41.9728        	4.00000000e+01
42.0408        	4.00000000e+01
42.1088        	4.00000000e+01
42.1769        	4.00000000e+01
42.2449        	4.00000000e+01
42.3129        	4.00000000e+01
42.381         	4.00000000e+01
42.449         	4.00000000e+01
42.517         	4.00000000e+01
42.585         	4.00000000e+01
42.6531        	4.00000000e+01
42.7211        	4.00000000e+01
42.7891        	4.00000000e+01
42.8571        	4.00000000e+01
42.9252        	4.00000000e+01
42.9932        	4.00000000e+01
43.0612        	4.00000000e+01
43.1293        	4.00000000e+01
43.1973        	4.00000000e+01
43.2653        	4.00000000e+01
43.3333        	4.00000000e+01
43.4014        	4.00000000e+01
43.4694        	4.00000000e+01
43.5374        	4.00000000e+01
43.6054        	4.00000000e+01
43.6735        	4.00000000e+01
43.7415        	4.00000000e+01
43.8095        	4.00000000e+01
43.8776        	4.00000000e+01
43.9456        	4.00000000e+01
44.0136        	4.00000000e+01
44.0819        	4.00000000e+01
44.1502        	4.00000000e+01
44.2186        	4.00000000e+01
44.2869        	4.00000000e+01
44.3552        	4.00000000e+01
44.4235        	4.00000000e+01
44.4918        	4.00000000e+01
44.5601        	4.00000000e+01
44.6285        	4.00000000e+01
44.6968        	4.00000000e+01
44.7651        	4.00000000e+01
44.8334        	4.00000000e+01
44.9017        	4.00000000e+01
44.9701        	4.00000000e+01
45.0384        	4.00000000e+01
45.1067        	4.00000000e+01
45.175         	4.00000000e+01
45.2433        	4.00000000e+01
45.3116        	4.00000000e+01
45.38          	4.00000000e+01
45.4483        	4.00000000e+01
45.5166        	4.00000000e+01
45.5849        	4.00000000e+01
45.6532        	4.00000000e+01
45.7216        	4.00000000e+01
45.7899        	4.00000000e+01
45.8582        	4.00000000e+01
45.9265        	4.00000000e+01
45.9948        	4.00000000e+01
46.0631        	4.00000000e+01
46.1315        	4.00000000e+01
46.1998        	4.00000000e+01
46.2681        	4.00000000e+01
46.3364        	4.00000000e+01
46.4047        	4.00000000e+01
46.4731        	4.00000000e+01
46.5414        	4.00000000e+01
46.6097        	4.00000000e+01
46.678         	4.00000000e+01
46.7463        	4.00000000e+01
46.8146        	4.00000000e+01
46.883         	4.00000000e+01
46.9513        	4.00000000e+01
47.0196        	4.00000000e+01
47.0879        	4.00000000e+01
47.1562        	4.00000000e+01
47.2245        	4.00000000e+01
47.2929        	4.00000000e+01
47.3612        	4.00000000e+01
47.4295        	4.00000000e+01
47.4978        	4.00000000e+01
47.5661        	4.00000000e+01
47.6345        	4.00000000e+01
47.7028        	4.00000000e+01
47.7711        	4.00000000e+01
47.8394        	4.00000000e+01
47.9077        	4.00000000e+01
47.976         	4.00000000e+01
48.0444        	4.00000000e+01
48.1127        	4.00000000e+01
48.181         	4.00000000e+01
48.2493        	4.00000000e+01
48.3176        	4.00000000e+01
48.386         	4.00000000e+01
48.4543        	4.00000000e+01
48.5226        	4.00000000e+01
48.5909        	4.00000000e+01
48.6592        	4.00000000e+01
48.7275        	4.00000000e+01
48.7959        	4.00000000e+01
48.8642        	4.00000000e+01
48.9325        	4.00000000e+01
49.0008        	4.00000000e+01
49.0691        	4.00000000e+01
49.1374        	4.00000000e+01
49.2058        	4.00000000e+01
49.2741        	4.00000000e+01
49.3424        	4.00000000e+01
49.4107        	4.00000000e+01
49.479         	4.00000000e+01
49.5474        	4.00000000e+01
49.6157        	4.00000000e+01
49.684         	4.00000000e+01
49.7523        	4.00000000e+01
49.8206        	4.00000000e+01
49.8889        	4.00000000e+01
49.9573        	4.00000000e+01
50.0256        	4.00000000e+01
50.0939        	4.00000000e+01
50.1622        	4.00000000e+01
50.2305        	4.00000000e+01
50.2989        	4.00000000e+01
50.3672        	4.00000000e+01
50.4355        	4.00000000e+01
50.5038        	4.00000000e+01
50.5721        	4.00000000e+01
50.6404        	4.00000000e+01
50.7088        	4.00000000e+01
50.7771        	4.00000000e+01
50.8454        	4.00000000e+01
50.9137        	4.00000000e+01
50.982         	4.00000000e+01
51.0504        	4.00000000e+01
51.1187        	4.00000000e+01
51.187         	4.00000000e+01
51.2553        	4.00000000e+01
51.3236        	4.00000000e+01
51.3919        	4.00000000e+01
51.4603        	4.00000000e+01
51.5286        	4.00000000e+01
51.5969        	4.00000000e+01
51.6652        	4.00000000e+01
51.7335        	4.00000000e+01
51.8018        	4.00000000e+01
51.8702        	4.00000000e+01
51.9385        	4.00000000e+01
52.0068        	4.00000000e+01
52.0751        	4.00000000e+01
52.1434        	4.00000000e+01
52.2118        	4.00000000e+01
52.2801        	4.00000000e+01
52.3484        	4.00000000e+01
52.4167        	4.00000000e+01
52.485         	4.00000000e+01
52.5533        	4.00000000e+01
52.6217        	4.00000000e+01
52.69          	4.00000000e+01
52.7583        	4.00000000e+01
52.8266        	4.00000000e+01
52.8949        	4.00000000e+01
52.9633        	4.00000000e+01
53.0316        	4.00000000e+01
53.0999        	4.00000000e+01
