#     Source : patch in
#     Faces  : 80
#     Area   : 4.00000000e+01
#          Time	sum(phi)
1.20000000e-03	-4.00000000e+01
2.64000000e-03	-4.00000000e+01
4.36800000e-03	-4.00000000e+01
6.44160000e-03	-4.00000000e+01
8.92992000e-03	-4.00000000e+01
1.19159040e-02	-4.00000000e+01
1.54990848e-02	-4.00000000e+01
1.97989018e-02	-4.00000000e+01
2.49586821e-02	-4.00000000e+01
3.11504185e-02	-4.00000000e+01
3.85805022e-02	-4.00000000e+01
4.74966027e-02	-4.00000000e+01
5.81959232e-02	-4.00000000e+01
7.10351079e-02	-4.00000000e+01
8.64421294e-02	-4.00000000e+01
1.04930555e-01	-4.00000000e+01
1.27116666e-01	-4.00000000e+01
1.53740000e-01	-4.00000000e+01
1.85258460e-01	-4.00000000e+01
2.21741023e-01	-4.00000000e+01
2.63271043e-01	-4.00000000e+01
3.09938026e-01	-4.00000000e+01
3.61387375e-01	-4.00000000e+01
4.12925927e-01	-4.00000000e+01
4.64610908e-01	-4.00000000e+01
5.16492781e-01	-4.00000000e+01
5.68623984e-01	-4.00000000e+01
6.21052224e-01	-4.00000000e+01
6.73811517e-01	-4.00000000e+01
7.26828793e-01	-4.00000000e+01
7.80075936e-01	-4.00000000e+01
8.33554672e-01	-4.00000000e+01
8.87261825e-01	-4.00000000e+01
9.41144262e-01	-4.00000000e+01
9.95013266e-01	-4.00000000e+01
1.04888821e+00	-4.00000000e+01
1.10278869e+00	-4.00000000e+01
1.15673080e+00	-4.00000000e+01
1.21072582e+00	-4.00000000e+01
1.26478670e+00	-4.00000000e+01
1.31892813e+00	-4.00000000e+01
1.37315197e+00	-4.00000000e+01
1.42742771e+00	-4.00000000e+01
1.48176598e+00	-4.00000000e+01
1.53617565e+00	-4.00000000e+01
1.59066395e+00	-4.00000000e+01
1.64523543e+00	-4.00000000e+01
1.69989483e+00	-4.00000000e+01
1.75464781e+00	-4.00000000e+01
1.80950048e+00	-4.00000000e+01
1.86439914e+00	-4.00000000e+01
1.91931318e+00	-4.00000000e+01
1.97425064e+00	-4.00000000e+01
2.02921986e+00	-4.00000000e+01
2.08423196e+00	-4.00000000e+01
2.13929881e+00	-4.00000000e+01
2.19443224e+00	-4.00000000e+01
2.24964384e+00	-4.00000000e+01
2.30494426e+00	-4.00000000e+01
2.36031760e+00	-4.00000000e+01
2.41573450e+00	-4.00000000e+01
2.47119975e+00	-4.00000000e+01
2.52671824e+00	-4.00000000e+01
2.58229490e+00	-4.00000000e+01
2.63793464e+00	-4.00000000e+01
2.69364349e+00	-4.00000000e+01
2.74942859e+00	-4.00000000e+01
2.80529450e+00	-4.00000000e+01
2.86124407e+00	-4.00000000e+01
2.91727987e+00	-4.00000000e+01
2.97340555e+00	-4.00000000e+01
3.02962483e+00	-4.00000000e+01
3.08594126e+00	-4.00000000e+01
3.14235854e+00	-4.00000000e+01
3.19888053e+00	-4.00000000e+01
3.25550991e+00	-4.00000000e+01
3.31219782e+00	-4.00000000e+01
3.36894819e+00	-4.00000000e+01
3.42576400e+00	-4.00000000e+01
3.48264734e+00	-4.00000000e+01
3.53959985e+00	-4.00000000e+01
3.59662301e+00	-4.00000000e+01
3.65371846e+00	-4.00000000e+01
3.71088863e+00	-4.00000000e+01
3.76813584e+00	-4.00000000e+01
3.82546135e+00	-4.00000000e+01
3.88286622e+00	-4.00000000e+01
3.94035219e+00	-4.00000000e+01
3.99792141e+00	-4.00000000e+01
4.05557609e+00	-4.00000000e+01
4.11331823e+00	-4.00000000e+01
4.17114950e+00	-4.00000000e+01
4.22907186e+00	-4.00000000e+01
4.28708718e+00	-4.00000000e+01
4.34519676e+00	-4.00000000e+01
4.40340149e+00	-4.00000000e+01
4.46170222e+00	-4.00000000e+01
4.52010040e+00	-4.00000000e+01
4.57858118e+00	-4.00000000e+01
4.63711183e+00	-4.00000000e+01
4.69569211e+00	-4.00000000e+01
4.75432216e+00	-4.00000000e+01
4.81300242e+00	-4.00000000e+01
4.87173353e+00	-4.00000000e+01
4.93051611e+00	-4.00000000e+01
4.98935060e+00	-4.00000000e+01
5.04823735e+00	-4.00000000e+01
5.10717667e+00	-4.00000000e+01
5.16616889e+00	-4.00000000e+01
5.22521440e+00	-4.00000000e+01
5.28431354e+00	-4.00000000e+01
5.34346658e+00	-4.00000000e+01
5.40267302e+00	-4.00000000e+01
5.46193217e+00	-4.00000000e+01
5.52124344e+00	-4.00000000e+01
5.58060647e+00	-4.00000000e+01
5.64002169e+00	-4.00000000e+01
5.69948984e+00	-4.00000000e+01
5.75901166e+00	-4.00000000e+01
5.81858789e+00	-4.00000000e+01
5.87821941e+00	-4.00000000e+01
5.93790711e+00	-4.00000000e+01
5.99765174e+00	-4.00000000e+01
6.05745389e+00	-4.00000000e+01
6.11731388e+00	-4.00000000e+01
6.17723194e+00	-4.00000000e+01
6.23720845e+00	-4.00000000e+01
6.29724385e+00	-4.00000000e+01
6.35733836e+00	-4.00000000e+01
6.41749212e+00	-4.00000000e+01
6.47770516e+00	-4.00000000e+01
6.53797742e+00	-4.00000000e+01
6.59830879e+00	-4.00000000e+01
