# Field minima and maxima
# Time         	field          	min            	location(min)  	max            	location(max)  
1.20000000e-03	p              	-1.14735060e+03	(1.03340804e+00 4.06193375e-02 1.36428330e-17)	1.35228885e+03	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
1.20000000e-03	U              	(5.72765373e-01 -7.00104575e-01 -1.06847920e-17)	(9.64179915e-01 5.39939829e-01 0.00000000e+00)	(1.75994449e+00 3.14724836e-01 1.00520556e-17)	(-2.15604005e-01 1.08374234e+00 0.00000000e+00)
2.64000000e-03	p              	-4.50023505e+02	(-1.10382176e+00 -4.33950814e-02 1.31701460e-17)	3.78412341e+02	(1.10382176e+00 -4.33950814e-02 0.00000000e+00)
2.64000000e-03	U              	(4.14845761e-01 -2.43465593e-01 -1.16500404e-17)	(-1.23018879e+00 -2.44772716e-01 -5.99917166e-17)	(1.68396082e+00 4.87841801e-01 2.44472912e-18)	(-2.99983066e-01 1.06357317e+00 1.23450456e-17)
4.36800000e-03	p              	-4.10983293e+00	(-1.10382176e+00 -4.33950814e-02 1.31701460e-17)	5.41849205e+00	(1.10382176e+00 4.33950814e-02 0.00000000e+00)
4.36800000e-03	U              	(7.54525935e-01 -6.47013916e-01 -7.84586948e-19)	(9.79733345e-01 6.54574149e-01 0.00000000e+00)	(1.70449308e+00 1.62342456e-01 2.20942050e-19)	(-1.38518882e-01 1.16988517e+00 -1.04771484e-17)
6.44160000e-03	p              	-2.81405338e+00	(-1.10382176e+00 -4.33950814e-02 1.31701460e-17)	4.04124494e+00	(1.10382176e+00 4.33950814e-02 0.00000000e+00)
6.44160000e-03	U              	(4.90332184e-01 -8.85923416e-01 -2.12382613e-19)	(9.18776698e-01 6.13866613e-01 -2.47093567e-17)	(1.73731737e+00 3.65379963e-01 9.92952536e-20)	(-2.15604005e-01 1.08374234e+00 0.00000000e+00)
8.92992000e-03	p              	-1.39951216e+00	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	1.50693839e+00	(-1.17685237e+00 -4.62739424e-02 0.00000000e+00)
8.92992000e-03	U              	(5.06856616e-01 -8.73791645e-01 -7.66982665e-20)	(9.18776698e-01 6.13866613e-01 -2.47093567e-17)	(1.73459161e+00 3.60169886e-01 9.80235553e-20)	(-2.15604005e-01 1.08374234e+00 0.00000000e+00)
1.19159040e-02	p              	-1.50097364e+00	(2.01798763e-01 1.01443080e+00 4.23815268e-17)	1.47098614e+00	(-1.17685237e+00 -4.62739424e-02 0.00000000e+00)
1.19159040e-02	U              	(3.86928625e-01 -7.92937191e-01 -9.21466940e-20)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.73588230e+00 3.59059090e-01 1.85969491e-19)	(2.15604005e-01 -1.08374234e+00 0.00000000e+00)
1.54990848e-02	p              	-1.52705955e+00	(2.80771032e-01 -9.95500327e-01 1.43772216e-17)	1.34598117e+00	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
1.54990848e-02	U              	(3.98412791e-01 -7.86373034e-01 -8.16118118e-20)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.73716322e+00 3.58069563e-01 2.41401058e-19)	(2.15604005e-01 -1.08374234e+00 0.00000000e+00)
1.97989018e-02	p              	-1.49561717e+00	(2.01798763e-01 1.01443080e+00 4.23815268e-17)	1.25620692e+00	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
1.97989018e-02	U              	(6.76138115e-01 -9.03028735e-01 -1.19098977e-19)	(8.67678671e-01 6.83977627e-01 0.00000000e+00)	(1.73893126e+00 3.57725047e-01 2.85977907e-19)	(2.15604005e-01 -1.08374234e+00 0.00000000e+00)
2.49586821e-02	p              	-1.46488295e+00	(2.01798763e-01 1.01443080e+00 4.23815268e-17)	1.14178082e+00	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
2.49586821e-02	U              	(6.83590363e-01 -8.99973958e-01 -1.40022829e-19)	(8.67678671e-01 6.83977627e-01 0.00000000e+00)	(1.74072010e+00 3.57438083e-01 3.34084604e-19)	(2.15604005e-01 -1.08374234e+00 0.00000000e+00)
3.11504185e-02	p              	-1.45114051e+00	(1.21582612e-01 -1.02709282e+00 -2.72429965e-17)	1.05758587e+00	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
3.11504185e-02	U              	(6.91191345e-01 -8.96429540e-01 -1.62937843e-19)	(8.67678671e-01 6.83977627e-01 0.00000000e+00)	(1.74219317e+00 3.56959073e-01 3.91568506e-19)	(2.15604005e-01 -1.08374234e+00 0.00000000e+00)
3.85805022e-02	p              	-1.43909713e+00	(1.21582612e-01 -1.02709282e+00 -2.72429965e-17)	1.00191149e+00	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
3.85805022e-02	U              	(6.98906583e-01 -8.92035114e-01 -1.92376361e-19)	(8.67678671e-01 6.83977627e-01 0.00000000e+00)	(1.74313965e+00 3.56080604e-01 4.54963731e-19)	(2.15604005e-01 -1.08374234e+00 0.00000000e+00)
4.74966027e-02	p              	-1.42762460e+00	(1.21582612e-01 -1.02709282e+00 -2.72429965e-17)	9.62671665e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
4.74966027e-02	U              	(7.06405320e-01 -8.86547827e-01 -2.28092529e-19)	(8.67678671e-01 6.83977627e-01 0.00000000e+00)	(1.74334191e+00 3.54593622e-01 5.23946310e-19)	(2.15604005e-01 -1.08374234e+00 0.00000000e+00)
5.81959232e-02	p              	-1.41660682e+00	(1.21582612e-01 -1.02709282e+00 -2.72429965e-17)	9.30502634e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
5.81959232e-02	U              	(7.13233135e-01 -8.79657248e-01 -2.68973930e-19)	(8.67678671e-01 6.83977627e-01 0.00000000e+00)	(1.74239419e+00 3.52111496e-01 5.99114578e-19)	(2.15604005e-01 -1.08374234e+00 0.00000000e+00)
7.10351079e-02	p              	-1.40507041e+00	(1.21582612e-01 -1.02709282e+00 -2.72429965e-17)	9.00329658e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
7.10351079e-02	U              	(7.18850367e-01 -8.70915396e-01 -3.13609518e-19)	(8.67678671e-01 6.83977627e-01 0.00000000e+00)	(1.73968365e+00 3.48209883e-01 6.79784785e-19)	(2.15604005e-01 -1.08374234e+00 0.00000000e+00)
8.64421294e-02	p              	-1.39271399e+00	(1.21582612e-01 -1.02709282e+00 -2.72429965e-17)	8.69931720e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
8.64421294e-02	U              	(7.22623172e-01 -8.59804118e-01 -3.59665886e-19)	(8.67678671e-01 6.83977627e-01 0.00000000e+00)	(1.73440739e+00 3.42572801e-01 7.65041462e-19)	(2.15604005e-01 -1.08374234e+00 0.00000000e+00)
1.04930555e-01	p              	-1.37814876e+00	(1.21582612e-01 -1.02709282e+00 -2.72429965e-17)	8.38609658e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
1.04930555e-01	U              	(3.64488518e-01 -6.64669968e-01 -9.83639394e-20)	(1.00360472e+00 4.62658924e-01 -1.23402591e-17)	(1.72560097e+00 3.35079821e-01 8.50207396e-19)	(2.15604005e-01 -1.08374234e+00 0.00000000e+00)
1.27116666e-01	p              	-1.36251390e+00	(1.21582612e-01 -1.02709282e+00 -2.72429965e-17)	8.06304225e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
