# Field minima and maxima
# Time         	field          	min            	location(min)  	max            	location(max)  
1.06058433e+02	p              	-6.25030776e-01	(3.44418942e+00 5.85804487e-01 7.71131706e-19)	5.62747301e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
1.06058433e+02	U              	(2.55429966e-01 -5.26856015e-01 -3.69785856e-19)	(4.13525402e+00 3.51948704e-01 -2.21585871e-17)	(1.29749421e+00 2.03380066e-01 2.80563548e-19)	(4.81739219e-01 1.70757903e+00 0.00000000e+00)
1.06121339e+02	p              	-6.25141361e-01	(3.44418942e+00 5.85804487e-01 7.71131706e-19)	5.62951382e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
1.06121339e+02	U              	(2.63630180e-01 -5.18411969e-01 -3.66628433e-19)	(4.13525402e+00 3.51948704e-01 -2.21585871e-17)	(1.29708955e+00 3.40161728e-01 2.35742700e-19)	(-5.55685462e-02 1.41263523e+00 1.56671443e-17)
1.06184275e+02	p              	-6.25011326e-01	(3.44418942e+00 5.85804487e-01 7.71131706e-19)	5.63086521e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
1.06184275e+02	U              	(3.90175654e-01 -5.54941575e-01 -5.42299545e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.27998516e+00 2.65391475e-01 3.11369101e-19)	(1.66357433e-01 1.40459629e+00 -7.82047486e-18)
1.06247242e+02	p              	-6.25068124e-01	(3.44418942e+00 5.85804487e-01 7.71131706e-19)	5.63433866e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
1.06247242e+02	U              	(3.90555756e-01 -5.55558475e-01 -5.43376150e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.24370880e+00 3.42614736e-01 2.47467735e-19)	(-1.86683358e-01 1.57596711e+00 2.82577808e-17)
1.06310241e+02	p              	-6.22357457e-01	(3.44418942e+00 5.85804487e-01 7.71131706e-19)	5.63658711e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
1.06310241e+02	U              	(3.90946987e-01 -5.56195669e-01 -5.44439257e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.24300986e+00 3.42813953e-01 2.46902212e-19)	(-1.86683358e-01 1.57596711e+00 2.82577808e-17)
1.06373274e+02	p              	-6.22517643e-01	(3.65557233e+00 5.85363161e-01 -6.19139483e-17)	5.64120764e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
1.06373274e+02	U              	(3.91347567e-01 -5.56850174e-01 -5.45492879e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.24228971e+00 3.43007886e-01 2.46333053e-19)	(-1.86683358e-01 1.57596711e+00 2.82577808e-17)
1.06436342e+02	p              	-6.21793915e-01	(3.65557233e+00 5.85363161e-01 -6.19139483e-17)	5.64360629e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
1.06436342e+02	U              	(3.91759441e-01 -5.57525289e-01 -5.46641005e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.24154578e+00 3.43195017e-01 2.45773900e-19)	(-1.86683358e-01 1.57596711e+00 2.82577808e-17)
1.06499447e+02	p              	-6.21958312e-01	(3.65557233e+00 5.85363161e-01 -6.19139483e-17)	5.64889436e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
1.06499447e+02	U              	(3.92180592e-01 -5.58217178e-01 -5.47732376e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.24078181e+00 3.43375861e-01 2.45215710e-19)	(-1.86683358e-01 1.57596711e+00 2.82577808e-17)
1.06562591e+02	p              	-6.21109622e-01	(3.65557233e+00 5.85363161e-01 -6.19139483e-17)	5.65016212e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
1.06562591e+02	U              	(3.92612905e-01 -5.58929465e-01 -5.48928034e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.16175441e+00 4.69226358e-01 9.29808225e-20)	(7.32304056e+00 -1.45357621e+00 -3.23986436e-17)
1.06625774e+02	p              	-6.20346626e-01	(3.65557233e+00 5.85363161e-01 -6.19139483e-17)	5.65392144e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
1.06625774e+02	U              	(3.93053962e-01 -5.59657983e-01 -5.50059077e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.16988947e+00 4.63799555e-01 1.00383707e-19)	(7.32304056e+00 -1.45357621e+00 -3.23986436e-17)
1.06688999e+02	p              	-6.19128117e-01	(3.65557233e+00 5.85363161e-01 -6.19139483e-17)	5.65831716e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
1.06688999e+02	U              	(3.93503219e-01 -5.60401688e-01 -5.51223940e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.27015110e+00 2.67741035e-01 3.04946901e-19)	(1.66357433e-01 1.40459629e+00 -7.82047486e-18)
1.06752266e+02	p              	-6.17312946e-01	(3.65557233e+00 5.85363161e-01 -6.19139483e-17)	5.66229567e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
1.06752266e+02	U              	(3.93959864e-01 -5.61159159e-01 -5.52389588e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.26881641e+00 2.67992895e-01 3.04176052e-19)	(1.66357433e-01 1.40459629e+00 -7.82047486e-18)
1.06815577e+02	p              	-6.15418444e-01	(3.65557233e+00 5.85363161e-01 -6.19139483e-17)	5.66521804e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
1.06815577e+02	U              	(3.94424930e-01 -5.61932322e-01 -5.53612708e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.26746380e+00 2.68233152e-01 3.03456609e-19)	(1.66357433e-01 1.40459629e+00 -7.82047486e-18)
1.06878932e+02	p              	-6.12271054e-01	(3.65557233e+00 5.85363161e-01 -6.19139483e-17)	5.66827257e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
1.06878932e+02	U              	(3.94896712e-01 -5.62718076e-01 -5.54793541e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.28521074e+00 3.42475595e-01 2.29649999e-19)	(-5.55685462e-02 1.41263523e+00 1.56671443e-17)
1.06942334e+02	p              	-6.09135750e-01	(3.87482782e+00 5.84905364e-01 0.00000000e+00)	5.67347934e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
1.06942334e+02	U              	(3.95373264e-01 -5.63513553e-01 -5.55963995e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.28410350e+00 3.42613149e-01 2.29128910e-19)	(-5.55685462e-02 1.41263523e+00 1.56671443e-17)
1.07005783e+02	p              	-6.07980971e-01	(3.87482782e+00 5.84905364e-01 0.00000000e+00)	5.68082020e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
1.07005783e+02	U              	(3.95855451e-01 -5.64320156e-01 -5.57184398e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.28548606e+00 2.11676820e-01 2.70473125e-19)	(4.81739219e-01 1.70757903e+00 0.00000000e+00)
1.07069280e+02	p              	-6.06510226e-01	(3.87482782e+00 5.84905364e-01 0.00000000e+00)	5.68470605e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
1.07069280e+02	U              	(3.96343105e-01 -5.65137599e-01 -5.58405027e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.28452620e+00 2.12156112e-01 2.70040688e-19)	(4.81739219e-01 1.70757903e+00 0.00000000e+00)
1.07132826e+02	p              	-6.05670489e-01	(3.87482782e+00 5.84905364e-01 0.00000000e+00)	5.69115129e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
1.07132826e+02	U              	(3.96833155e-01 -5.65960436e-01 -5.59555762e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.21073349e+00 3.87468873e-01 1.53929233e-19)	(7.32304056e+00 -1.45357621e+00 -3.23986436e-17)
1.07196422e+02	p              	-6.01828445e-01	(3.87482782e+00 5.84905364e-01 0.00000000e+00)	5.69493683e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
1.07196422e+02	U              	(3.97328676e-01 -5.66793840e-01 -5.60831010e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.21188003e+00 3.73433320e-01 1.60783764e-19)	(7.32304056e+00 -1.45357621e+00 -3.23986436e-17)
1.07260068e+02	p              	-5.99511718e-01	(3.87482782e+00 5.84905364e-01 0.00000000e+00)	5.70127439e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
1.07260068e+02	U              	(3.97827988e-01 -5.67635059e-01 -5.62036974e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.21198310e+00 3.58319810e-01 1.67602373e-19)	(7.32304056e+00 -1.45357621e+00 -3.23986436e-17)
1.07323754e+02	p              	-5.97001424e-01	(3.87482782e+00 5.84905364e-01 0.00000000e+00)	5.70647922e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
1.07323754e+02	U              	(3.98330668e-01 -5.68483651e-01 -5.63212576e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.18955137e+00 4.40972836e-01 7.80237601e-20)	(7.69325119e+00 -1.45235763e+00 0.00000000e+00)
1.07387381e+02	p              	-5.93796170e-01	(3.87482782e+00 5.84905364e-01 0.00000000e+00)	5.71487503e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
1.07387381e+02	U              	(3.98832511e-01 -5.69331538e-01 -5.63843097e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.19522252e+00 4.31827299e-01 8.21015838e-20)	(7.69325119e+00 -1.45235763e+00 0.00000000e+00)
1.07450949e+02	p              	-5.88183625e-01	(3.87482782e+00 5.84905364e-01 0.00000000e+00)	5.72057603e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
1.07450949e+02	U              	(3.99336052e-01 -5.70183521e-01 -5.64496265e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.24387289e+00 4.29151092e-01 1.07519720e-19)	(-2.60174967e-01 1.30751857e+00 -1.01600534e-17)
1.07514458e+02	p              	-5.83661833e-01	(3.87482782e+00 5.84905364e-01 0.00000000e+00)	5.72639877e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
1.07514458e+02	U              	(3.99839523e-01 -5.71036609e-01 -5.65067596e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.24278843e+00 4.29003218e-01 1.07221167e-19)	(-2.60174967e-01 1.30751857e+00 -1.01600534e-17)
1.07577907e+02	p              	-5.82081801e-01	(4.10224906e+00 5.84430542e-01 -1.15791191e-17)	5.73399988e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
