# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 1.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
1              	4.26144459e-08	4.48823034e+01	1.53235101e-05	7.70436952e-06	7.61914063e-06
2              	2.37507554e-08	3.15283200e+01	-2.89610601e-06	-1.42430225e-06	-1.47180376e-06
3              	-3.38191162e-08	-1.05012811e+00	-2.33654184e-05	-1.17165283e-05	-1.16488901e-05
4              	-5.48826815e-08	-1.78525400e+01	-1.24435532e-05	-6.27665930e-06	-6.16689393e-06
5              	-2.67440949e-08	-9.89111207e+00	1.49902154e-05	7.46836361e-06	7.52185180e-06
6              	1.05720206e-08	6.59399314e+00	2.30051274e-05	1.15131357e-05	1.14919917e-05
7              	1.39803658e-08	1.34851837e+01	2.82826946e-06	1.42811510e-06	1.40015437e-06
8              	-2.13457656e-08	7.72146979e+00	-1.59081488e-05	-7.97542017e-06	-7.93272864e-06
9              	-4.86018544e-08	-1.15841414e+00	-1.50397615e-05	-7.56848258e-06	-7.47127887e-06
10             	-4.81789394e-08	-4.09786338e+00	2.14111423e-06	1.02237817e-06	1.11873605e-06
11             	-1.75449114e-08	-5.59473643e-01	1.24862189e-05	6.22556455e-06	6.26065437e-06
12             	6.24160771e-09	3.98336193e+00	8.49331919e-06	4.25290120e-06	4.24041799e-06
13             	3.16557897e-09	5.06297695e+00	-3.30460951e-06	-1.64913918e-06	-1.65547034e-06
14             	-1.68483565e-08	2.87641385e+00	-8.68638811e-06	-4.36004241e-06	-4.32634570e-06
15             	-3.10580180e-08	4.88181723e-01	-4.35771833e-06	-2.20991718e-06	-2.14780115e-06
16             	-2.89893033e-08	8.71919619e-02	2.50806829e-06	1.22504484e-06	1.28302345e-06
17             	-1.43915915e-08	1.33586996e+00	5.76039284e-06	2.86580483e-06	2.89458801e-06
18             	-1.17669781e-09	2.54705219e+00	2.44272563e-06	1.22018612e-06	1.22253951e-06
19             	-1.48607743e-09	2.64907761e+00	-1.70132510e-06	-8.52148628e-07	-8.49176474e-07
20             	-1.02352603e-08	1.92359827e+00	-3.52078731e-06	-1.77062892e-06	-1.75015840e-06
21             	-1.81437747e-08	1.29028604e+00	-1.22087586e-06	-6.28581705e-07	-5.92294155e-07
22             	-1.78527741e-08	1.27472881e+00	1.22293052e-06	5.93612488e-07	6.29318036e-07
23             	-1.13012690e-08	1.67945203e+00	2.20285133e-06	1.09012440e-06	1.11272693e-06
24             	-5.05070989e-09	2.00421569e+00	8.54510155e-07	4.22204368e-07	4.32305788e-07
25             	-4.73642504e-09	1.98865634e+00	-5.30940244e-07	-2.70206547e-07	-2.60733697e-07
26             	-8.75193572e-09	1.75976797e+00	-1.25239289e-06	-6.34948380e-07	-6.17444509e-07
27             	-1.28099725e-08	1.58980241e+00	-6.33418794e-07	-3.29519369e-07	-3.03899424e-07
28             	-1.38316875e-08	1.60867933e+00	4.56465328e-07	2.14400977e-07	2.42064352e-07
29             	-1.08952128e-08	1.73756202e+00	9.82453967e-07	4.80331771e-07	5.02122196e-07
30             	-7.55679236e-09	1.82722760e+00	6.32475494e-07	3.08680955e-07	3.23794539e-07
31             	-6.54412825e-09	1.81203853e+00	-5.66026835e-10	-6.82714167e-09	6.26111484e-09
32             	-8.08323981e-09	1.73985631e+00	-4.29456465e-07	-2.22811473e-07	-2.06644993e-07
33             	-1.01870116e-08	1.69289081e+00	-2.56487677e-07	-1.38430850e-07	-1.18056827e-07
34             	-1.09630225e-08	1.70437640e+00	1.59534294e-07	6.88041248e-08	9.07301697e-08
35             	-1.01140334e-08	1.74533166e+00	4.76937749e-07	2.28354841e-07	2.48582908e-07
36             	-8.70173596e-09	1.77010657e+00	4.14207287e-07	1.98401908e-07	2.15805380e-07
37             	-8.09217272e-09	1.76185236e+00	1.16513809e-07	5.01647317e-08	6.63490771e-08
38             	-8.65042303e-09	1.73806236e+00	-9.39593775e-08	-5.56301118e-08	-3.83292657e-08
39             	-9.53199488e-09	1.72416691e+00	-7.24125089e-08	-4.57382493e-08	-2.66742596e-08
40             	-9.91792172e-09	1.72860984e+00	1.16075844e-07	4.81200003e-08	6.79558437e-08
41             	-9.58102044e-09	1.74082623e+00	2.54019417e-07	1.17428688e-07	1.36590729e-07
42             	-8.99820892e-09	1.74664105e+00	2.61514124e-07	1.21758853e-07	1.39755271e-07
43             	-8.65162455e-09	1.74192809e+00	1.47197151e-07	6.49469510e-08	8.22502001e-08
44             	-8.70213645e-09	1.73308002e+00	5.19754691e-08	1.72855981e-08	3.46898710e-08
45             	-8.92920553e-09	1.72799677e+00	8.20293999e-08	3.20854944e-08	4.99439055e-08
46             	-8.98303182e-09	1.72864268e+00	1.53082548e-07	6.75582423e-08	8.55243060e-08
47             	-8.70940934e-09	1.73119969e+00	1.93265680e-07	8.79234308e-08	1.05342249e-07
48             	-8.29790295e-09	1.73130271e+00	1.54905767e-07	6.91549805e-08	8.57507864e-08
49             	-7.99276893e-09	1.72810347e+00	8.95375551e-08	3.67760086e-08	5.27615465e-08
50             	-7.83621752e-09	1.72389407e+00	5.46979200e-08	1.95127425e-08	3.51851775e-08
51             	-7.71592552e-09	1.72107899e+00	6.92889890e-08	2.69285690e-08	4.23604200e-08
52             	-7.48886598e-09	1.72001765e+00	1.08314390e-07	4.66683289e-08	6.16460609e-08
53             	-7.13869003e-09	1.71936455e+00	1.26686182e-07	5.62044007e-08	7.04817808e-08
54             	-6.74208132e-09	1.71783038e+00	6.18251611e-08	2.41704992e-08	3.76546619e-08
55             	-6.44614672e-09	1.71531504e+00	3.78058760e-08	1.24567913e-08	2.53490847e-08
56             	-6.27752997e-09	1.71260593e+00	5.45798547e-08	2.10123974e-08	3.35674573e-08
57             	-6.11479097e-09	1.71039733e+00	7.02839870e-08	2.90272025e-08	4.12567845e-08
58             	-5.88464032e-09	1.70871811e+00	6.91143270e-08	2.86725232e-08	4.04418038e-08
59             	-5.58773035e-09	1.70712235e+00	5.62831680e-08	2.25538536e-08	3.37293143e-08
60             	-5.31298555e-09	1.70524572e+00	4.43231865e-08	1.68486077e-08	2.74745788e-08
61             	-5.11708660e-09	1.70310968e+00	3.88844511e-08	1.43251390e-08	2.45593122e-08
62             	-4.95557412e-09	1.70097379e+00	3.82580506e-08	1.41734512e-08	2.40845994e-08
63             	-4.77530754e-09	1.69902646e+00	3.85430225e-08	1.44962037e-08	2.40468188e-08
64             	-4.57697540e-09	1.69724600e+00	3.77826208e-08	1.43143350e-08	2.34682858e-08
65             	-4.37536568e-09	1.69549879e+00	3.61420826e-08	1.36956756e-08	2.24464070e-08
