# Field minima and maxima
# Time         	field          	min            	location(min)  	max            	location(max)  
1              	p              	-1.14971978e+01	(1.03340804e+00 4.06193375e-02 1.36428330e-17)	1.27652131e+01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
1              	U              	(9.14069322e-01 -1.20321654e-01 -5.92056421e-18)	(1.24707024e+00 8.33104659e-01 7.10492499e-18)	(1.11911085e+00 1.69401901e-02 1.73652247e-18)	(-4.92598134e-02 1.25259701e+00 1.02867451e-17)
2              	p              	-7.65718338e+00	(1.01443080e+00 -2.01798763e-01 -1.43873828e-17)	9.16548151e+00	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
2              	U              	(6.63135104e-01 -5.32639808e-01 -4.57831111e-18)	(1.24707024e+00 8.33104659e-01 7.10492499e-18)	(1.24633746e+00 1.25810110e-01 1.69295900e-18)	(-2.20093201e-01 1.85765077e+00 6.22353026e-17)
3              	p              	-2.45699318e+00	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	2.04583879e+00	(1.17685237e+00 4.62739424e-02 3.30479863e-17)
3              	U              	(2.16893372e-01 -6.49020638e-01 -1.03974331e-18)	(1.28544554e+00 5.92566610e-01 -7.80069997e-18)	(1.52883029e+00 3.08207799e-01 1.19963442e-18)	(-1.38518882e-01 1.16988517e+00 -1.04771484e-17)
4              	p              	-5.73191970e+00	(-1.01443080e+00 -2.01798763e-01 2.64278296e-17)	6.28539295e+00	(1.03340804e+00 4.06193375e-02 1.36428330e-17)
4              	U              	(3.43033977e-01 -7.18829240e-01 -3.51767899e-18)	(-9.79733345e-01 -6.54574149e-01 0.00000000e+00)	(1.30919734e+00 4.23665519e-01 1.65678284e-18)	(4.61593829e-01 -1.25113667e+00 0.00000000e+00)
5              	p              	-3.16379961e+00	(-9.39341133e-01 4.33038181e-01 -7.82447817e-19)	3.26496517e+00	(1.03340804e+00 -4.06193375e-02 -1.36422226e-17)
5              	U              	(5.53457726e-01 -4.54403538e-01 -2.21047307e-18)	(-9.79733345e-01 -6.54574149e-01 0.00000000e+00)	(1.20461573e+00 3.26695909e-01 1.07266944e-18)	(-5.92566610e-01 1.28544554e+00 -2.49642909e-17)
6              	p              	-1.87889336e+00	(1.03340804e+00 4.06193375e-02 1.36428330e-17)	1.97604782e+00	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
6              	U              	(6.68662832e-01 -2.99562647e-01 -1.49549461e-18)	(-1.21108335e+00 -5.58291140e-01 0.00000000e+00)	(1.19695467e+00 2.23980212e-01 3.19645353e-19)	(-5.19338361e-01 1.40762809e+00 0.00000000e+00)
7              	p              	-3.68351915e+00	(1.03340804e+00 -4.06193375e-02 -1.36422226e-17)	3.99917016e+00	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
7              	U              	(6.55626279e-01 -3.72437421e-01 -2.71896670e-18)	(-1.30893657e+00 -7.32929611e-01 3.70563920e-17)	(1.22760574e+00 8.42668368e-02 5.03237451e-19)	(-7.35095719e-02 1.86775840e+00 -5.09057544e-17)
8              	p              	-1.86113519e+00	(7.59452236e-01 -7.02007805e-01 0.00000000e+00)	2.14797683e+00	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
8              	U              	(2.96003307e-01 -4.01813083e-01 -7.21328345e-19)	(1.21108335e+00 5.58291140e-01 -2.73230315e-17)	(1.26627093e+00 2.03699996e-01 8.12078122e-19)	(5.81454165e-01 -1.57596592e+00 1.25655094e-17)
9              	p              	-1.94261457e+00	(-1.21582612e-01 -1.02709282e+00 0.00000000e+00)	1.22855621e+00	(1.25259701e+00 4.92598134e-02 0.00000000e+00)
9              	U              	(7.11123724e-01 -5.08714897e-01 -7.65181497e-19)	(9.04248133e-01 9.78291593e-01 -3.60539132e-17)	(1.35446349e+00 2.27449734e-01 8.98193749e-19)	(-1.86683358e-01 1.57596711e+00 2.82577808e-17)
10             	p              	-1.99042649e+00	(-4.33038181e-01 -9.39341133e-01 -7.82515465e-19)	1.85898198e+00	(1.03340804e+00 -4.06193375e-02 -1.36422226e-17)
10             	U              	(3.61561594e-01 -3.83143282e-01 -1.21562511e-18)	(-1.25113667e+00 -4.61593829e-01 0.00000000e+00)	(1.34110499e+00 1.81600057e-01 7.03490025e-19)	(-1.86683358e-01 1.57596711e+00 2.82577808e-17)
11             	p              	-8.15183183e-01	(-3.58010297e-01 9.70418664e-01 -5.51390094e-17)	5.27859537e-01	(1.03340804e+00 -4.06193375e-02 -1.36422226e-17)
11             	U              	(4.48696191e-01 -3.47542827e-01 -3.68364226e-19)	(-1.25113667e+00 -4.61593829e-01 0.00000000e+00)	(1.16217009e+00 1.78175308e-01 4.21894251e-19)	(3.84241246e-01 -1.36212021e+00 -1.56080166e-17)
12             	p              	-9.44990409e-01	(1.10382176e+00 4.33950814e-02 0.00000000e+00)	1.28874240e+00	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
12             	U              	(5.04539491e-01 -3.26965728e-01 -7.85551922e-19)	(-1.32795509e+00 -4.89939434e-01 -1.71635020e-17)	(1.24841538e+00 1.49907577e-01 1.71762840e-19)	(-2.20093201e-01 1.85765077e+00 6.22353026e-17)
13             	p              	-1.18793294e+00	(1.03340804e+00 -4.06193375e-02 -1.36422226e-17)	1.50309425e+00	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
13             	U              	(5.23276155e-01 -3.36940695e-01 -8.81239665e-19)	(1.24707024e+00 8.33104659e-01 7.10492499e-18)	(1.25093130e+00 1.28014191e-01 3.87505997e-19)	(-7.75075104e-02 1.96917663e+00 0.00000000e+00)
14             	p              	-1.07117794e+00	(2.80771032e-01 -9.95500327e-01 1.43772216e-17)	7.71946393e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
14             	U              	(5.80297154e-01 -3.76179196e-01 -3.28021987e-19)	(1.17737085e+00 9.27995477e-01 0.00000000e+00)	(1.26591875e+00 1.44252431e-01 6.59884808e-19)	(-7.75075104e-02 1.96917663e+00 0.00000000e+00)
15             	p              	-1.29184878e+00	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	4.01821919e-01	(1.41263523e+00 -5.55685462e-02 0.00000000e+00)
15             	U              	(2.35725983e-01 -3.09182487e-01 -5.35478470e-19)	(-1.20740244e+00 -3.40575620e-01 0.00000000e+00)	(1.27490048e+00 1.40908456e-01 6.79560735e-19)	(-7.75075104e-02 1.96917663e+00 0.00000000e+00)
16             	p              	-1.07384380e+00	(-1.21582612e-01 1.02709282e+00 0.00000000e+00)	4.29565218e-01	(1.03340804e+00 -4.06193375e-02 -1.36422226e-17)
16             	U              	(2.67597135e-01 -3.03204276e-01 -4.91540744e-19)	(-1.20740244e+00 -3.40575620e-01 0.00000000e+00)	(1.27386461e+00 1.33124758e-01 4.78882846e-19)	(-7.75075104e-02 1.96917663e+00 0.00000000e+00)
17             	p              	-6.34274393e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.17816401e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
17             	U              	(4.68057084e-01 -3.50205195e-01 -4.08799398e-19)	(-1.32795509e+00 -4.89939434e-01 -1.71635020e-17)	(1.25854211e+00 8.65450739e-02 3.82173355e-19)	(8.16539606e-02 2.07436327e+00 2.63392950e-17)
18             	p              	-4.93256634e-01	(2.01798763e-01 1.01443080e+00 4.23815268e-17)	8.48869985e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
18             	U              	(4.59276727e-01 -3.52542951e-01 -5.52602454e-19)	(-1.32795509e+00 -4.89939434e-01 -1.71635020e-17)	(1.26443624e+00 1.51643090e-01 3.08175031e-19)	(-7.75075104e-02 1.96917663e+00 0.00000000e+00)
19             	p              	-6.88016785e-01	(2.80771032e-01 -9.95500327e-01 1.43772216e-17)	8.11067513e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
19             	U              	(4.40519745e-01 -3.58738184e-01 -5.22881378e-19)	(-1.32795509e+00 -4.89939434e-01 -1.71635020e-17)	(1.26677501e+00 1.67138415e-01 4.53445749e-19)	(-7.75075104e-02 1.96917663e+00 0.00000000e+00)
20             	p              	-8.91007602e-01	(1.21582612e-01 -1.02709282e+00 -2.72429965e-17)	5.68808317e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
20             	U              	(4.33032275e-01 -3.62326809e-01 -4.08925697e-19)	(-1.32795509e+00 -4.89939434e-01 -1.71635020e-17)	(1.27255719e+00 1.74265225e-01 5.62212488e-19)	(-7.75075104e-02 1.96917663e+00 0.00000000e+00)
21             	p              	-9.33335159e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	4.17161879e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
21             	U              	(4.40495520e-01 -3.61545979e-01 -3.46875150e-19)	(-1.32795509e+00 -4.89939434e-01 -1.71635020e-17)	(1.27713750e+00 1.74609499e-01 5.37580346e-19)	(-7.75075104e-02 1.96917663e+00 0.00000000e+00)
22             	p              	-8.04664543e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	4.66203383e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
22             	U              	(4.51362317e-01 -3.59220052e-01 -3.76853214e-19)	(-1.32795509e+00 -4.89939434e-01 -1.71635020e-17)	(1.27317433e+00 1.24602033e-01 5.15830419e-19)	(8.16539606e-02 2.07436327e+00 2.63392950e-17)
23             	p              	-6.55230750e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	6.04202752e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
23             	U              	(4.54668101e-01 -3.58471024e-01 -4.39139118e-19)	(-1.32795509e+00 -4.89939434e-01 -1.71635020e-17)	(1.27202908e+00 1.31609675e-01 4.29791717e-19)	(8.16539606e-02 2.07436327e+00 2.63392950e-17)
24             	p              	-6.31414738e-01	(4.06193375e-02 1.03340804e+00 0.00000000e+00)	6.76529020e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
24             	U              	(4.50075397e-01 -3.59729771e-01 -4.64477764e-19)	(-1.32795509e+00 -4.89939434e-01 -1.71635020e-17)	(1.27172245e+00 1.41124168e-01 4.40631411e-19)	(8.16539606e-02 2.07436327e+00 2.63392950e-17)
25             	p              	-7.09146072e-01	(1.21582612e-01 -1.02709282e+00 -2.72429965e-17)	6.41765354e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
25             	U              	(4.44679910e-01 -3.61327291e-01 -4.41894273e-19)	(-1.32795509e+00 -4.89939434e-01 -1.71635020e-17)	(1.27349674e+00 1.48803167e-01 5.07564709e-19)	(8.16539606e-02 2.07436327e+00 2.63392950e-17)
26             	p              	-7.77138206e-01	(4.06193375e-02 -1.03340804e+00 0.00000000e+00)	5.70320174e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
26             	U              	(4.43944342e-01 -3.61813401e-01 -4.08820717e-19)	(-1.32795509e+00 -4.89939434e-01 -1.71635020e-17)	(1.27632599e+00 1.52994712e-01 5.47148563e-19)	(8.16539606e-02 2.07436327e+00 2.63392950e-17)
27             	p              	-7.70704160e-01	(4.06193375e-02 -1.03340804e+00 0.00000000e+00)	5.41534067e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
27             	U              	(4.47146776e-01 -3.61231936e-01 -3.99623177e-19)	(-1.32795509e+00 -4.89939434e-01 -1.71635020e-17)	(1.27834498e+00 1.55597566e-01 5.24626181e-19)	(8.16539606e-02 2.07436327e+00 2.63392950e-17)
28             	p              	-7.12017244e-01	(-4.06193375e-02 -1.03340804e+00 0.00000000e+00)	5.68351580e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
28             	U              	(2.39331562e-01 -3.54442299e-01 -3.64626056e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.27866254e+00 1.59266747e-01 4.73580829e-19)	(8.16539606e-02 2.07436327e+00 2.63392950e-17)
29             	p              	-6.65380876e-01	(4.06193375e-02 1.03340804e+00 0.00000000e+00)	6.08559847e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
29             	U              	(2.39102508e-01 -3.54258063e-01 -3.58740439e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.27789284e+00 1.64672317e-01 4.45158068e-19)	(8.16539606e-02 2.07436327e+00 2.63392950e-17)
30             	p              	-6.64525684e-01	(4.06193375e-02 1.03340804e+00 0.00000000e+00)	6.22265265e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
30             	U              	(2.38099375e-01 -3.54291666e-01 -3.59347611e-19)	(-9.64179915e-01 -5.39939829e-01 1.23452373e-17)	(1.27724916e+00 1.70419234e-01 4.54912941e-19)	(8.16539606e-02 2.07436327e+00 2.63392950e-17)
31             	p              	-6.90292003e-01	(4.06193375e-02 1.03340804e+00 0.00000000e+00)	6.07291913e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
