# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 1.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
0.000498281    	2.64936040e-07	6.32726280e+03	2.56932333e-02	1.28468816e-02	1.28463517e-02
0.00109621     	1.04585749e-06	-4.12953221e+01	9.55403767e-04	4.78747741e-04	4.76656026e-04
0.00181371     	2.08290806e-07	-8.03081882e+02	-1.31288908e-02	-6.56423712e-03	-6.56465370e-03
0.0026747      	8.35769736e-08	-1.16973464e+02	1.21427328e-02	6.07144997e-03	6.07128281e-03
0.00370783     	-1.33718118e-07	8.50208133e+00	-1.37531979e-02	-6.87673268e-03	-6.87646525e-03
0.00494753     	-1.25416092e-07	-4.45276067e+01	7.32833442e-03	3.66404179e-03	3.66429263e-03
0.00643514     	-1.54743540e-07	-3.43579315e+01	5.41207398e-04	2.70448956e-04	2.70758443e-04
0.00822028     	-1.43388922e-07	-1.90006470e+01	-1.63947520e-04	-8.21171489e-05	-8.18303711e-05
0.0103623      	-1.23872116e-07	-1.39209163e+01	-1.13376118e-03	-5.67004464e-04	-5.66756720e-04
0.0129327      	-1.07914531e-07	-1.02863610e+01	-5.11085782e-04	-2.55650805e-04	-2.55434976e-04
0.0160166      	-9.54639370e-08	-7.47420855e+00	-3.01038814e-04	-1.50614871e-04	-1.50423943e-04
0.0197167      	-8.67529471e-08	-5.75208689e+00	-1.87888015e-04	-9.40307607e-05	-9.38572548e-05
0.0241558      	-8.40513601e-08	-4.52263954e+00	-1.19671338e-04	-5.99197206e-05	-5.97516179e-05
0.0294812      	-8.20812922e-08	-3.58538771e+00	-7.44376557e-05	-3.73009091e-05	-3.71367465e-05
0.0358718      	-7.97280243e-08	-2.87205751e+00	-6.82524966e-05	-3.42059763e-05	-3.40465203e-05
0.0435385      	-7.86513895e-08	-2.31574827e+00	-6.04789439e-05	-3.03181233e-05	-3.01608205e-05
0.052735       	-8.08726940e-08	-1.86861258e+00	-5.54475679e-05	-2.78046566e-05	-2.76429113e-05
0.0637678      	-8.10002597e-08	-1.50195445e+00	-3.72890868e-05	-1.87255436e-05	-1.85635431e-05
0.0770057      	-7.74889117e-08	-1.19693322e+00	-3.19315863e-05	-1.60432821e-05	-1.58883042e-05
0.0928806      	-7.37507056e-08	-9.40911662e-01	-2.18454256e-05	-1.09964635e-05	-1.08489621e-05
0.11193        	-7.06490485e-08	-7.25136834e-01	-1.55170627e-05	-7.82918039e-06	-7.68788229e-06
0.134505       	-6.86539201e-08	-5.46128142e-01	-9.36202608e-06	-4.74966696e-06	-4.61235912e-06
0.160609       	-6.65791856e-08	-4.01505801e-01	-8.35440655e-06	-4.24378246e-06	-4.11062409e-06
0.19022        	-6.49209182e-08	-2.87733641e-01	-6.15544608e-06	-3.14264396e-06	-3.01280212e-06
0.223347       	-6.01882316e-08	-2.01420869e-01	-1.91573342e-06	-1.01805494e-06	-8.97678479e-07
0.259045       	-5.43036237e-08	-1.37675737e-01	-1.00661097e-06	-5.57609106e-07	-4.49001859e-07
0.294873       	-4.93582888e-08	-9.25054753e-02	-2.84879173e-06	-1.47375415e-06	-1.37503757e-06
0.330831       	-4.54594629e-08	-6.03109038e-02	-8.49198095e-06	-4.29144994e-06	-4.20053101e-06
0.366921       	-4.50819930e-08	-3.69193958e-02	-7.68499420e-06	-3.88757909e-06	-3.79741511e-06
0.403144       	-4.67065153e-08	-1.98205208e-02	-1.76273999e-06	-9.28076512e-07	-8.34663482e-07
0.439502       	-4.77751796e-08	-7.14523251e-03	4.71869631e-06	2.31157298e-06	2.40712334e-06
0.47586        	-3.53667197e-08	2.48572461e-03	5.25066369e-06	2.58996513e-06	2.66069857e-06
0.51215        	-2.54507411e-08	9.96729905e-03	4.17881372e-06	2.06395612e-06	2.11485760e-06
0.548373       	-3.57831073e-08	1.55233241e-02	4.57942790e-06	2.25393084e-06	2.32549706e-06
0.584596       	-4.58382809e-08	1.95244002e-02	3.45686233e-06	1.68259289e-06	1.77426945e-06
0.620751       	-3.83141237e-08	2.25606665e-02	3.40851342e-06	1.66594259e-06	1.74257084e-06
0.656839       	-1.76386095e-08	2.49999330e-02	3.06601660e-06	1.51536969e-06	1.55064691e-06
0.692927       	-3.46018338e-09	2.69731513e-02	2.70745205e-06	1.35026584e-06	1.35718621e-06
0.728948       	-1.98578166e-09	2.87058582e-02	2.32361298e-06	1.15982071e-06	1.16379227e-06
